FacilityName,FacilityType,LicenseNumber,Licensee_name,LocationAddress,LocationCity,LocationState,LocationZipCode,LocationCounty,MailAddress,MailState,MailZipCode,TelephoneNmbr,FaxNmbr,LicensedBedCount,Source_DSHS_Data,hsystem_contract,contact_person,contact_person_title,num_employees,num_resident,facility_email,cellphone_number,total_afh_same_management,region
*1st* Hope Adult Family Home LLC,AF,754100,This variable does not exist for Adult Family Homes,17002 129th Ave SE,Renton,WA,98058,King,16965 129th Ave SE,WA,98058,(425) 572-0357,,5,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Janet Otieno,Resident Manager,No response,No response,blessingsandcareafh@gmail.com,(206)334-7471 (Mobile),3,3
*Dynamic Care Adult Family Home LLC,AF,754401,This variable does not exist for Adult Family Homes,11614 SE 52nd St,Bellevue,WA,98006,King,11614 SE 52nd St,WA,98006,(206) 816-4618,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Hirut Getachew,Resident Manager,No response,No response,Berhanualemu31@gmail.com,(206)412-0578 (Mobile),1,2
*Ek Care Adult Family Home LLC,AF,754053,This variable does not exist for Adult Family Homes,1759 NE 148TH ST,SHORELINE,WA,98155,King,1759 NE 148TH ST,WA,98155,(206) 362-3657,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Eyerusalem Berhie,Resident Manager,3,4,ruth.kidan@yahoo.com,"(210)644-0290 (Mobile)
(206)446-0290 (Mobile)",1,1
*Kingsgate Highlands Adult Family Home,AF,754146,This variable does not exist for Adult Family Homes,11722 NE 134TH ST,KIRKLAND,WA,98034,King,18204 41st Ave SE,WA,98012,(425) 821-2838,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Jecinta Thuo,Resident Manager,1,1,janwairim@gmail.com,(978)397-2282 (Mobile),1,2
*Serene Manor,AF,754492,This variable does not exist for Adult Family Homes,32738 2nd Ave SW,Federal Way,WA,98023,King,32738 2nd Ave SW,WA,98023,(206) 533-4825,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,NA,NA,NA,NA,NA,NA,NA,NA
*The Golden Age Retirement Home LLC,AF,754476,This variable does not exist for Adult Family Homes,12971 SE 23rd St,Bellevue ,WA,98005,King,12971 SE 23rd St,WA,98005,(206) 859-7048,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Alina Fer,Resident Manager,No response,No response,fer.alina.11@gmail.com,(206)859-7048 (Mobile),1,2
1 Love AFH LLC,AF,753671,This variable does not exist for Adult Family Homes,17905 42nd Ave S,SeaTac,WA,98188,King,17905 42nd Ave S,WA,98188,(206) 397-6776,,5,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Zerefa Biru,Resident Manager,4,6,zerefa.biru@yahoo.com,(206)397-6776 (Mobile),1,3
1 Rose Hill Place LLC,AF,753114,This variable does not exist for Adult Family Homes,12827 NE 84th St,Kirkland,WA,98033,King,PO Box 3285,WA,98009,(425) 443-6576,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,DAVID MURESAN,Resident Manager,5,6,1rosehillplace@gmail.com,(425)443-6576 (Mobile),1,2
1st & Amazing Senior Care Home of Kirkland LLC,AF,753876,This variable does not exist for Adult Family Homes,10619 NE 116th St,Kirkland,WA,98034,King,10619 NE 116th St,WA,98034,(206) 369-9906,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Otilia Girjoaba,Resident Manager,0,0,otilia_movi@yahoo.com,(425)821-9160 (Mobile),1,2
1st A Banias Adult Family Home LLC,AF,753914,This variable does not exist for Adult Family Homes,14504 Ashworth Ave N,Shoreline,WA,98133,King,14504 Ashworth Ave N,WA,98133,(206) 407-4834,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Almaz BerIhun,Resident Manager,3,4,yegebreal19@gmail.com,(206)407-4834 (Mobile),1,1
1st Ammanuel Adult Family Home LLC,AF,753881,This variable does not exist for Adult Family Homes,2412 NE 145th St,Shoreline ,WA,98155,King,2412 NE 145th St,WA,98155,(206) 693-3134,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Fana Laakemariam,Resident Manager,2,3,fanaamha@yahoo.com,(206)953-5670 (Mobile),1,1
1st Burien Treasured Care Adult Family Home LLC,AF,754135,This variable does not exist for Adult Family Homes,525 S 152nd St,Burien,WA,98148,King,16836 165th Ave SE,WA,98272,(206) 402-3173,,5,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Irene Felix,Resident Manager,0,0,iacalundre11@yahoo.com,(206)313-7598 (Mobile),1,3
1st Caring AFH LLC,AF,753432,This variable does not exist for Adult Family Homes,29933 2ND PLACE SW,FEDERAL WAY,WA,98023,King,29933 2ND PLACE SW,WA,98023,(206) 212-6303,(206) 653-7415,5,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Melaku Daniel,Resident Manager,3,5,NA,(206)765-9775 (Mobile),1,3
1st Charleon Adult Family Home LLC,AF,753982,This variable does not exist for Adult Family Homes,16621 Stone Ave N,Shoreline,WA,98133,King,16621 Stone Ave N,WA,98133,(206) 542-2399,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Odda Howard,Resident Manager,3,6,oddaohawa@yahoo.com,(253)766-7420 (Mobile),1,1
1st Echo Lake Care Home LLC,AF,753637,This variable does not exist for Adult Family Homes,1911 N 198th St,Shoreline,WA,98133,King,1911 N 198th St,WA,98133,(206) 981-6897,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Mulu Wolde,Resident Manager,2,4,muluwolde4@gmail.com,(206)801-7939 (Mobile),1,1
1st Hope Care LLC,AF,753981,This variable does not exist for Adult Family Homes,27229 45th PL S,Kent ,WA,98032,King,27229 45th PL S,WA,98032,(253) 981-3688,,5,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Rebecca Lewi,Resident Manager,3,3,hopecareafh@gmail.com,(206)288-9797 (Mobile),1,3
1st Horizon Sky Adult Family Home LLC,AF,754067,This variable does not exist for Adult Family Homes,2509 NE 18th ST,Renton,WA,98056,King,2509 NE 18th ST,WA,98056,(206) 687-0031,,5,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Eden Kassa,Resident Manager,0,0,eden_kassa@hotmail.com,NA,1,3
1ST LOVING PLACE AFH LLC,AF,752709,This variable does not exist for Adult Family Homes,9607 S 243RD ST,KENT,WA,98030,King,9607 S 243RD ST,WA,98030,(253) 246-8124,(253) 246-8141,5,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,ALEXANDRINA NITA,Resident Manager,3,4,NA,(206)422-5113 (Mobile),1,3
1st Magnolia AFH LLC,AF,753419,This variable does not exist for Adult Family Homes,2920 S 284th St,Federal Way,WA,98003,King,2920 S 284th St,WA,98003,(206) 651-7484,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Martin Misaghi,Resident Manager,3,5,Magnoliaafh@gmail.com,(206)941-1349 (Mobile),1,3
1st Mustard Seed AFH of Burien LLC,AF,753993,This variable does not exist for Adult Family Homes,13052 10th Ave S,Burien,WA,98168,King,13052 10th Ave S,WA,98168,(206) 788-6229,,4,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Sifrash Ademe,Resident Manager,0,0,ademe09@up.edu,(206)488-6248 (Mobile),1,3
1st Open Arms AFH LLC,AF,754380,This variable does not exist for Adult Family Homes,2315 N 194th St,Shoreline,WA,98133,King,2315 N 194th St,WA,98133,(206) 365-6943,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Eden Seyoum,Resident Manager,3,5,openarmsafh@outlook.com,(206)920-6943 (Mobile),1,1
1st Sunshine Park of Kenmore LLC,AF,754150,This variable does not exist for Adult Family Homes,19004 65TH AVE NE,KENMORE,WA,98028,King,19004 65TH AVE NE,WA,98028,(425) 483-2745,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Regina Inkiriwang,Resident Manager,5,5,drammehj@gmail.com,(425)283-3593 (Mobile),1,1
24/7 CARE ADULT FAMILY HOME INC,AF,752833,This variable does not exist for Adult Family Homes,12829 109TH AVE NE,KIRKLAND,WA,98034,King,12829 109TH AVE NE,WA,98034,(425) 814-8089,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,HENRY CANDO,Resident Manager,2,6,247CAREAFH@GMAIL.COM,(425)260-0642 (Mobile),1,2
3 Tree Vista Adult Family Home LLC,AF,753954,This variable does not exist for Adult Family Homes,15809 23rd Ave SW,Burien,WA,98166,King,4701 SW Admiral Way PMB 47,WA,98116,(206) 906-9444,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,DOROTHY GUTIERREZ,Resident Manager,3,0,3treevista@gmail.com,(206)380-7007 (Mobile),1,3
A & D HOME SERVICES,AF,750328,This variable does not exist for Adult Family Homes,1036 S 325TH ST,FEDERAL WAY,WA,98003,King,1036 S 325TH ST,WA,98003,(253) 946-4571,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,DOLORES CAVADA,Provider,No response,No response,westridge98023@comcast.net,(253)632-6086 (Mobile),1,3
A Ace Amazing AFH LLC,AF,753586,This variable does not exist for Adult Family Homes,514 N 102nd St,Seattle,WA,98133,King,514 N 102nd St,WA,98133,(206) 294-5199,,4,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Eve Okendo,Resident Manager,3,4,eveadhiambo2007@yahoo.com,(206)788-6692 (Mobile),1,4
A Beloved Adult Family Home,AF,753808,This variable does not exist for Adult Family Homes,17105 127th Ave SE,Renton,WA,98058,King,17105 127th Ave SE,WA,98058,(425) 829-7681,,4,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Kevin Udoye,Resident Manager,No response,No response,nivekmore@yahoo.com,(425)228-8595 (Mobile),1,3
A Best Choice Care LLC,AF,754333,This variable does not exist for Adult Family Homes,30621 4th Pl S,Federal Way,WA,98003,King,30621 4th Pl S,WA,98003,(206) 249-8387,,5,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Alemach Desi,Resident Manager,No response,No response,Checkole92@gmail.com,(702)477-9776 (Mobile),1,3
"A Bliss AFH, LLC",AF,754569,This variable does not exist for Adult Family Homes,19023 172nd Pl SE,Renton,WA,98058,King,14325 SE 169th St,WA,98058,(425) 264-6002,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,NA,NA,NA,NA,NA,NA,NA,NA
A Bright Horizon Adult Family Home Limited Liability Company,AF,754453,This variable does not exist for Adult Family Homes,662 CAMAS AVE NE,RENTON,WA,98056,King,662 CAMAS AVE NE,WA,98056,(425) 228-2561,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Rosemary Nganga,Resident Manager,0,0,isacwarren@gmail.com,(206)887-8260 (Mobile),1,3
A CARING CHOICE ADULT FAMILY HOME LLC,AF,752333,This variable does not exist for Adult Family Homes,12803 NE 106TH PL,KIRKLAND,WA,98033,King,5545 116th Avenue NE,WA,98033,(425) 658-7657,(425) 658-7657,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,RALUCA TOMOIAGA,Resident Manager,6,6,gaberaluca@yahoo.com,(206)403-0014 (Mobile),1,2
A Caring Haven Adult Family Home LLC,AF,753188,This variable does not exist for Adult Family Homes,7209 NE 152ND PL,KENMORE,WA,98028,King,7209 NE 152ND PL,WA,98028,(425) 877-1440,(425) 877-1420,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Senait Tesfay,Resident Manager,5,6,senait1991@yahoo.com,(206)981-7693 (Mobile),1,1
A Caring Haven Adult Family Home Two LLC,AF,754452,This variable does not exist for Adult Family Homes,7223 NE 150TH ST,KENMORE,WA,98028,King,7223 NE 150TH ST,WA,98028,(206) 981-7693,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Elizabeth Wamagata,Resident Manager,4,5,acaringhaven2016@gmail.com,"(206)981-7693 (Mobile)
(253)345-8724 (Mobile)",1,1
A CARING HEART ADULT FAMILY HOME LLC,AF,753368,This variable does not exist for Adult Family Homes,6212 S 300TH ST,AUBURN,WA,98001,King,6212 S 300TH ST,WA,98001,(206) 212-4353,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Mohammad Yasin,Resident Manager,5,6,YASIN1234@MSN.COM,(253)205-1699 (Mobile),1,3
A CARING TOUCH ADULT FAMILY HOME,AF,751897,This variable does not exist for Adult Family Homes,18504 61ST PL NE,KENMORE,WA,98028,King,18504 61ST PL NE,WA,98028,(425) 387-4944,(425) 949-5064,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Shelley Washington,Resident Manager,4,6,hillraylynn@yahoo.com,(425)387-4944 (Mobile),1,1
A Casa Di Cura AFH,AF,753788,This variable does not exist for Adult Family Homes,1028 S 325TH ST,FEDERAL WAY,WA,98003,King,1028 S 325TH ST,WA,98003,(253) 269-6108,,5,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Marisol Cura,Resident Manager,No response,No response,ynois0718@yahoo.com,(253)245-6065 (Mobile),1,3
A Compassion Villa Adult Family Home LLC,AF,754515,This variable does not exist for Adult Family Homes,1511 G St SE,Auburn ,WA,98002,King,1511 G St SE,WA,98002,(253) 737-5928,,5,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,NA,NA,NA,NA,NA,NA,NA,NA
A Friend's House Adult Family Home,AF,753233,This variable does not exist for Adult Family Homes,14325 SE 169th St,Renton,WA,98058,King,14325 SE 169th St,WA,98058,(425) 351-3211,(425) 264-3564,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Rahab Kairu,Resident Manager,0,0,afriendshouseafh@yahoo.com,(425)528-2616 (Mobile),1,3
A Friend's House Adult Family Home II LLC,AF,753895,This variable does not exist for Adult Family Homes,16312 145th Ave SE,Renton,WA,98058,King,16312 145th Ave SE,WA,98058,(425) 351-3211,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Martha Kaine,Resident Manager,0,0,afriendshouseafh@yahoo.com,(425)351-3211 (Mobile),1,3
"A Great Life, LLC",AF,754139,This variable does not exist for Adult Family Homes,417 158TH PL SE,BELLEVUE,WA,98008,King,417 158TH PL SE,WA,98008,(425) 373-1849,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Arun Vijay,Resident Manager,0,0,agreatlifebellevue@gmail.com,(202)294-6322 (Mobile),1,2
A Happy Heart Adult Care Services LLP,AF,753573,This variable does not exist for Adult Family Homes,9821 S 213TH PL,KENT,WA,98031,King,9821 S 213TH PL,WA,98031,(253) 859-6440,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,ROMEO EDROZO,Resident Manager,4,6,rommil_edr020@yahoo.com,(206)595-7937 (Mobile),1,3
A Home For Mom and Dad LLC,AF,754581,This variable does not exist for Adult Family Homes,3815 Hampton Way,Kent,WA,98032,King,3815 Hampton Way,WA,98032,,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,NA,NA,NA,NA,NA,NA,NA,NA
A LITTLE PIECE OF HEAVEN,AF,524200,This variable does not exist for Adult Family Homes,17347 DENSMORE AVE NORTH,SHORELINE,WA,98133,King,17347 DENSMORE AVE NORTH,WA,98133,(206) 546-9142,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Jeanette Buckmeier,Representative,No response,No response,Alpoh.afh@gmail.com,(206)778-0606 (Mobile),1,1
A LOVING HEART,AF,750178,This variable does not exist for Adult Family Homes,8627 NE 180TH ST #B,BOTHELL,WA,98011,King,8627 NE 180TH ST #B,WA,98011,(425) 486-3848,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,BENJAMIN ANSTEY,Representative,4,6,NA,NA,1,1
A Marine Hill Adult Family Home LLC,AF,753889,This variable does not exist for Adult Family Homes,29849 6th Ave S.,Federal Way,WA,98003,King,29845 6th Ave S,WA,98003,(206) 769-1000,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,WILLIAM MCLAUGHLIN,Resident Manager,1,3,billhashomes@gmail.com,(206)769-1000 (Mobile),2,3
A MARINE HILLS ADULT FAMILY HOME LLC,AF,751917,This variable does not exist for Adult Family Homes,29845 6TH AVE S,FEDERAL WAY,WA,98003,King,29845 6TH AVE S,WA,98003,(253) 835-1647,(206) 429-3707,3,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Peter Njenga,Resident Manager,1,0,NA,(206)769-1000 (Mobile),2,3
A NEW HAVEN AFH,AF,751061,This variable does not exist for Adult Family Homes,2631 SW 320TH PL,FEDERAL WAY,WA,98023,King,2631 SW 320TH PL,WA,98023,(253) 661-1889,(253) 344-1218,5,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,WINNIE ELLAZAR,Resident Manager,5,5,NA,NA,1,3
A Place In The Park,AF,754042,This variable does not exist for Adult Family Homes,19121 2nd Ave SW,Normandy Park,WA,98166,King,19121 2nd Ave SW,WA,98166,(206) 695-2353,,5,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Edwin Ombac,Resident Manager,3,5,NA,(206)253-7064 (Mobile),1,3
A PLEASANT JOURNEY ADULT FAMILY HOME,AF,753353,This variable does not exist for Adult Family Homes,147 163RD PLACE SE,BELLEVUE,WA,98008,King,147 163RD PLACE SE,WA,98008,(425) 590-7237,(425) 296-1929,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,ASISLA OLAYAO,Resident Manager,0,0,ailaolayao@gmail.com,(425)590-7237 (Mobile),1,2
A Plus Home,AF,753062,This variable does not exist for Adult Family Homes,12214 2nd Place SW,Burien,WA,98146,King,12214 2nd Place SW,WA,98146,(206) 251-3795,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Cesar Hernandez,Resident Manager,0,0,DovistaPlace@yahoo.com,NA,1,3
A SAND POINT SENIOR CARE,AF,752423,This variable does not exist for Adult Family Homes,11314 SAND POINT WAY NE,SEATTLE,WA,98125,King,11314 SAND POINT WAY NE,WA,98125,(206) 367-3290,(206) 367-3290,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Marisol Kellough,Resident Manager,2,3,marisolkellough@yahoo.com,(425)530-6366 (Mobile),1,4
A Serene Place LLC,AF,753762,This variable does not exist for Adult Family Homes,2501 Skyway Lane,Auburn ,WA,98002,King,2501 Skyway Lane,WA,98002,(206) 913-1778,,5,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Joseph Waruinge,Resident Manager,2,4,asereneplaceafh@gmail.com,(206)913-1778 (Mobile),1,3
A SERENITY AFH,AF,754113,This variable does not exist for Adult Family Homes,3020 14TH ST SE,AUBURN,WA,98092,King,3020 14TH ST SE,WA,98092,(253) 931-5119,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Valentina Craciun,Resident Manager,4,4,aserenityafh@hotmail.com,(206)376-1110 (Mobile),1,3
A WATER VIEW ADULT FAMILY HOME,AF,752552,This variable does not exist for Adult Family Homes,19511 23RD AVE NW,SHORELINE,WA,98177,King,PO BOX 2566,WA,98083,(206) 697-5557,(425) 481-6610,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,IOANA BOANCA,Resident Manager,4,5,NA,NA,3,1
A+ MERIDIAN VILLA ESTATES AFH,AF,751244,This variable does not exist for Adult Family Homes,23420 124TH AVE SE,KENT,WA,98031,King,23420 124TH AVE SE,WA,98031,(253) 638-0485,(253) 630-3093,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Marcela Cusmir,Resident Manager,3,0,meridianvillaestate@gmail.com,NA,1,3
A-Choice AFH LLC,AF,754186,This variable does not exist for Adult Family Homes,18328 8th Ave NW,Shoreline ,WA,98177,King,18328 8th Ave NW,WA,98177,(206) 629-4175,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Getachew Dubago,Resident Manager,3,4,getachewb@aol.com,(206)913-7475 (Mobile),1,1
A-Z ADULT FAMILY HOME,AF,475901,This variable does not exist for Adult Family Homes,9914 64TH SOUTH,SEATTLE,WA,98118,King,9914 64TH SOUTH,WA,98118,(206) 725-6719,(206) 725-4843,5,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Zandrix Tello,Resident Manager,2,3,NA,(206)331-6881 (Mobile),1,4
A-Z ADULT FAMILY HOME IV,AF,751854,This variable does not exist for Adult Family Homes,128 S 168TH ST,BURIEN,WA,98148,King,9914 64TH AVE S,WA,98118,(206) 402-4707,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Agnes Tello,Resident Manager,4,5,zit1018@msn.com,(206)725-4843 (Mobile),1,3
"A.Neema Gilead, LLC",AF,754495,This variable does not exist for Adult Family Homes,12913 SE 309th Pl,Auburn,WA,98092,King,12913 SE 309th Pl,WA,98092,(253) 204-4351,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA Residential Care LLC,AF,753869,This variable does not exist for Adult Family Homes,16243 NE 124th Ave,Bothell,WA,98011,King,16243 NE 124th Ave,WA,98011,(425) 488-4850,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Shabani Ramadhani,Resident Manager,2,5,ramadha2003@yahoo.com,(425)213-0260 (Mobile),1,1
AAA Loving Care Adult Family Home LLC,AF,753655,This variable does not exist for Adult Family Homes,2072 S 222nd St,Des Moines,WA,98198,King,2072 S 222nd St,WA,98198,(206) 824-2202,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Tirusew Shiferaw,Resident Manager,0,0,AAALovingcareafh@gmail.com,(206)335-9142 (Mobile),1,3
AAA Pendo Adult Family Home LLC,AF,753703,This variable does not exist for Adult Family Homes,32335 29th Avenue SW,Federal Way,WA,98023,King,32335 29th Avenue SW,WA,98023,(253) 242-7502,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Lucy Ngare,Resident Manager,3,4,Pendoadultfamilyhome@gmail.com,(206)653-4698 (Mobile),1,3
AATMA ADULT FAMILY HOME LLC,AF,752755,This variable does not exist for Adult Family Homes,14526 6TH AVE NE,SHORELINE,WA,98155,King,21002 49TH AVE WEST,WA,98036,(206) 367-7771,(206) 367-0063,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,MAHA ASRE,Resident Manager,No response,No response,NA,(206)498-2776 (Mobile),1,1
AB Adult Family Home LLC,AF,753715,This variable does not exist for Adult Family Homes,31416 27th Ave SW,Federal Way,WA,98023,King,31416 27th Ave SW,WA,98023,(206) 747-8918,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Edward Gachoka,Resident Manager,4,5,e_kungu@yahoo.com,(253)224-7231 (Mobile),1,3
Abbaye Angel Adult Family Home LLC,AF,752974,This variable does not exist for Adult Family Homes,1906 S 232nd Street,Des Moines,WA,98198,King,PO Box 98323,WA,98198,(206) 212-6200,(253) 981-0220,5,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Elsa Asgehdom,Resident Manager,0,0,abbaye.angelafh@gmail.com,(206)834-5534 (Mobile),1,3
ABI Adult Family Home,AF,753835,This variable does not exist for Adult Family Homes,16651 113th Ave SE,Renton,WA,98055,King,16651 113th Ave SE,WA,98055,(425) 988-3953,,5,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Prabhakar Thapa,Resident Manager,4,4,abi.afh@live.com,(972)259-7019 (Mobile),1,3
ABIATHER ADULT FAMILY HOME LLC,AF,752759,This variable does not exist for Adult Family Homes,2628 S 310TH ST ,FEDERAL WAY,WA,98003,King,2628 S 310TH ST ,WA,98003,(253) 941-3243,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Charles Nyonyo,Resident Manager,0,0,kinjac2005@yahoo.com,(253)334-0896 (Mobile),1,3
Able Abbey LLC,AF,753606,This variable does not exist for Adult Family Homes,8555 S 124TH ST ,SEATTLE,WA,98178,King,8555 S 124TH ST ,WA,98178,(206) 548-6316,,5,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Jonathan Tin,Resident Manager,0,0,JONTIN@GMAIL.COM,(206)548-6316 (Mobile),1,4
ABLE CARE ADULT FAMILY HOME,AF,751713,This variable does not exist for Adult Family Homes,30620 8TH PLACE S,FEDERAL WAY,WA,98003,King,30620 8TH PLACE S,WA,98003,(253) 946-2102,,4,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,DELIA MORALES,Resident Manager,2,3,deliamorales57@yahoo.com,(253)335-2688 (Mobile),1,3
Able Hands Adult Family Home LLC,AF,753407,This variable does not exist for Adult Family Homes,29919 50th CT S,Auburn,WA,98001,King,29919 50th CT S,WA,98001,(206) 371-4194,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Jane Kimani,Resident Manager,2,6,jwkimani2001@yahoo.com,NA,1,3
Able Hands AFH LLC,AF,753681,This variable does not exist for Adult Family Homes,31703 8th Ave So,Federal Way,WA,98003,King,31703 8th Ave So,WA,98003,(253) 874-1990,,5,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Joseph Kamau,Resident Manager,3,5,jokiarie2002@yahoo.com,(253)335-1222 (Mobile),1,3
Able Hands II Adult Family Home LLC,AF,754440,This variable does not exist for Adult Family Homes,1403 S 302nd St,Federal Way,WA,98003,King,1403 S 302nd St,WA,98003,(206) 592-2482,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Margaret Thuku,Resident Manager,0,0,Ablehandsafh@gmail.com,(206)371-4194 (Mobile),1,3
ABOUNDING GRACE AFH LLC,AF,752399,This variable does not exist for Adult Family Homes,6200 123RD AVE SE,BELLEVUE,WA,98006,King,6200 123RD AVE SE,WA,98006,(425) 641-0405,(425) 378-7797,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,DANIEL IORGA,Resident Manager,0,0,NA,(425)818-3653 (Mobile),1,2
